Name,FMISID,LPNN,WMO,Lat,Lon,Elevation,Started
Vantaa Helsinki-Vantaa airport AWOS,137189,,,60.32,24.91,40,1999
Vantaa Hämeenlinnanväylä,104083,,,60.27,24.87,20,2015
Vantaa Itä-Hakkila,104056,,,60.29,25.11,20,2008
Vantaa Kaivoksela,101001,335,2975,60.27,24.87,83,1994
Vantaa Lentoasema,104048,,,60.31,24.97,20,2006
Vantaa Rekola,106423,,,60.33,25.08,20,2016
Vantaa Rekola etelä,105417,,,60.33,25.33,40,2017
Vantaa Tikkurila Neilikkatie,100763,,,60.29,25.04,21,1996
Vantaa Tikkurila Talvikkitie,106951,,,60.3,25.03,17,2019
Varkaus kaupungintalo,104188,,,62.31,27.89,78,1991
Varkaus Kommila terveyskeskus,107063,,,62.33,27.89,88,2019
Varkaus Kosulanniemi,101421,2625,2850,62.32,27.91,83,2007
Varkaus Kosulanniemi Rantalankatu,106417,,,62.32,27.91,85,2016
Varkaus Psaari 2,103100,,,62.31,27.89,80,2003
Varkaus Pääterveysasema,103101,,,62.33,27.89,88,1991
Varkaus Taulumäki (toripaviljonki),103102,,,62.32,27.87,86,2001
Vesanto Sonkari,101555,3502,2710,62.92,26.42,120,1908
Vieremä Kaarakkala,101726,4602,2834,63.84,27.22,206,1937
Vihti Hiiskula,101135,1307,,60.52,24.52,100,1924
Vihti Maasoja,100976,309,2758,60.42,24.4,40,1939
Vihti Nummela,107028,,,60.33,24.31,58,2018
Viitasaari Haapaniemi,101537,3401,2915,63.08,25.86,130,1969
Viitasaari Kärnä,101545,3409,,63.17,25.94,115,1960
Vimpeli Lakeaharju,101518,3217,2925,63.1,23.82,198,2005
Virolahti Koivuniemi,101231,1612,2831,60.53,27.67,5,1976
Virolahti Koivuniemi Ääpälä,100656,,,60.53,27.68,5,2013
Virrat Äijänneva,101310,2218,2735,62.33,23.54,138,1986
Ylitornio Meltosjärvi,101908,7301,2812,66.53,24.65,93,1937
Ylivieska airfield,101690,4315,2755,64.05,24.72,76,2000
Ylivieska Vähäkangas,101691,4316,,64.07,24.68,75,2000
Ähtäri Inha,101520,3301,2924,62.55,24.14,161,1959
Äänekoski Hiski,103151,,,62.6,25.74,110,2004
Äänekoski Kalaniemi,101541,3405,,62.88,25.86,107,1956
