Month,TAVG_SODANKYLA,temp_celsius_SODANKYLA,ref_temp_SODANKYLA,DIFF_SODANKYLA,TAVG_KELSINKI,temp_celsius_HELSINKI,ref_temp_HELSINKI,DIFF_HELSINKI,Monthly_diff
1,5.468621700879764,-14.73965461062235,-14.708388354398526,-0.03126625622381486,22.02353191489362,-5.542446808510638,-5.351,-0.19159574468085092,-8.957899875331153
2,6.599406627854905,-14.111440762302832,-14.130260997320883,0.018820235018059055,21.63617021276595,-5.757617021276594,-5.940999999999995,0.18353191489361712,-7.691752112039218
3,14.93978494623656,-9.4778972520908,-9.546836026745485,0.06893877465467678,28.189340425531906,-2.117021276595745,-2.4399999999999986,0.3232978723404256,-6.989069373019583
4,26.344545454545454,-3.1419191919191922,-3.067089018843405,-0.07483017307578732,38.709170212765954,3.7273617021276597,3.424000000000004,0.303468085106383,-6.552561996779389
5,38.85443548387097,3.8080197132616496,3.889290569768882,-0.08127085650723077,50.845425531914884,10.46968085106383,10.180000000000001,0.28982978723404257,-6.343317699992374
6,50.715789473684204,10.39766081871345,10.392184557438785,0.005476261274656804,58.49152083333334,14.717520833333333,14.668000000000005,0.04964583333333331,-4.320337191358024
7,56.24671760045275,13.470398666918191,13.516478342749535,-0.046079675831335556,63.23054166666666,17.35029166666667,17.280999999999977,0.0698333333333333,-3.7840020908004774
8,51.70826259196378,10.949034773313214,10.97593004572981,-0.026895272416612166,60.3109375,15.72833333333333,15.604000000000015,0.12462500000000008,-4.756111111111111
9,42.34385964912281,5.746588693957115,5.771551724137929,-0.024963030180815554,51.27977083333334,10.71097916666667,10.596000000000002,0.11485416666666674,-4.769042438271606
10,30.457555178268255,-0.8569137898509711,-0.8629959213941425,0.006082131543169736,42.059666666666665,5.588666666666668,5.4879999999999995,0.10095833333333337,-6.250629032258064
11,18.25148809523809,-7.63806216931217,-7.51229246487867,-0.12576970443349786,33.51629787234043,0.8423829787234042,0.6460000000000006,0.19661702127659578,-8.311847123719465
12,9.716877880184336,-12.379512288786486,-12.293752317389702,-0.08575997139678458,26.34910638297872,-3.1394255319148923,-3.211000000000003,0.07197872340425557,-9.339602913139633
