,DATE_m,TAVG,temp_celsius,Month,ref_temp,Diff,STATION
0,195901,,,1,-14.708388354398538,,SODANKYLA LOKKA FI
1,195902,,,2,-14.13026099732089,,SODANKYLA LOKKA FI
2,195903,,,3,-9.546836026745478,,SODANKYLA LOKKA FI
3,195904,,,4,-3.067089018843405,,SODANKYLA LOKKA FI
4,195905,41.46774193548387,5.259856630824372,5,3.8892905697688795,1.3705660610554928,SODANKYLA LOKKA FI
5,195906,52.083333333333336,11.157407407407407,6,10.392184557438794,0.7652228499686125,SODANKYLA LOKKA FI
6,195907,54.95,12.749999999999998,7,13.516478342749528,-0.7664783427495294,SODANKYLA LOKKA FI
7,195908,52.564516129032256,11.424731182795702,8,10.975930045729823,0.4488011370658782,SODANKYLA LOKKA FI
8,195909,38.833333333333336,3.796296296296296,9,5.771551724137931,-1.9752554278416348,SODANKYLA LOKKA FI
9,195910,28.370967741935484,-2.0161290322580645,10,-0.8629959213941413,-1.1531331108639233,SODANKYLA LOKKA FI
10,195911,19.216666666666665,-7.101851851851852,11,-7.512292464878672,0.4104406130268199,SODANKYLA LOKKA FI
11,195912,8.193548387096774,-13.225806451612906,12,-12.293752317389698,-0.9320541342232076,SODANKYLA LOKKA FI
12,196001,-2.4193548387096775,-19.121863799283155,1,-14.708388354398538,-4.413475444884616,SODANKYLA LOKKA FI
13,196002,-1.1724137931034482,-18.429118773946357,2,-14.13026099732089,-4.298857776625466,SODANKYLA LOKKA FI
14,196003,19.080645161290324,-7.177419354838711,3,-9.546836026745478,2.369416671906767,SODANKYLA LOKKA FI
15,196004,29.7,-1.277777777777778,4,-3.067089018843405,1.789311241065627,SODANKYLA LOKKA FI
16,196005,45.29032258064516,7.383512544802867,5,3.8892905697688795,3.494221975033988,SODANKYLA LOKKA FI
17,196006,52.13333333333333,11.185185185185187,6,10.392184557438794,0.7930006277463928,SODANKYLA LOKKA FI
18,196007,62.53225806451613,16.962365591397848,7,13.516478342749528,3.4458872486483205,SODANKYLA LOKKA FI
19,196008,53.596774193548384,11.99820788530466,8,10.975930045729823,1.022277839574837,SODANKYLA LOKKA FI
20,196009,42.6,5.888888888888889,9,5.771551724137931,0.11733716475095868,SODANKYLA LOKKA FI
21,196010,20.29032258064516,-6.505376344086021,10,-0.8629959213941413,-5.64238042269188,SODANKYLA LOKKA FI
22,196011,13.516666666666667,-10.26851851851852,11,-7.512292464878672,-2.756226053639849,SODANKYLA LOKKA FI
23,196012,10.64516129032258,-11.863799283154124,12,-12.293752317389698,0.42995303423557374,SODANKYLA LOKKA FI
24,196101,11.870967741935484,-11.182795698924732,1,-14.708388354398538,3.5255926554738064,SODANKYLA LOKKA FI
25,196102,9.160714285714286,-12.688492063492067,2,-14.13026099732089,1.4417689338288238,SODANKYLA LOKKA FI
26,196103,17.048387096774192,-8.306451612903226,3,-9.546836026745478,1.2403844138422517,SODANKYLA LOKKA FI
